[2025-04-14 00:26:07,097: INFO: main: Welcome to our custom log]
[2025-04-14 13:06:14,402: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 13:06:14,701: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 13:06:14,701: INFO: common: created directory at: artifacts]
[2025-04-14 13:07:38,310: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 13:07:38,313: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 13:07:38,315: INFO: common: created directory at: artifacts]
[2025-04-14 13:07:38,316: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 13:07:38,319: INFO: 3639088304: Downloading data from https://drive.google.com/file/d/1N7-uMySA18euUaOjHq1k0Il7YhdBh-LR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-14 13:07:54,503: INFO: 3639088304: Downloaded data from https://drive.google.com/file/d/1N7-uMySA18euUaOjHq1k0Il7YhdBh-LR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-14 13:25:11,939: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-14 13:25:11,939: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 13:25:11,954: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 13:25:11,954: INFO: common: created directory at: artifacts]
[2025-04-14 13:25:11,954: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 13:25:11,954: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1N7-uMySA18euUaOjHq1k0Il7YhdBh-LR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-14 13:25:29,344: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1N7-uMySA18euUaOjHq1k0Il7YhdBh-LR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-14 13:25:29,769: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-04-14 16:15:27,975: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:15:27,993: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:15:28,296: INFO: common: created directory at: artifacts]
[2025-04-14 16:15:28,298: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:16:23,621: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:16:23,625: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:16:23,625: INFO: common: created directory at: artifacts]
[2025-04-14 16:16:23,629: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:17:23,872: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:17:23,875: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:17:23,877: INFO: common: created directory at: artifacts]
[2025-04-14 16:17:23,878: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:19:06,625: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:19:06,628: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:19:06,630: INFO: common: created directory at: artifacts]
[2025-04-14 16:19:06,633: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:30:25,186: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:30:25,186: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:30:25,195: INFO: common: created directory at: artifacts]
[2025-04-14 16:30:25,195: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:31:09,180: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:31:09,183: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:31:09,186: INFO: common: created directory at: artifacts]
[2025-04-14 16:31:09,187: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:31:18,999: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:31:19,002: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:31:19,004: INFO: common: created directory at: artifacts]
[2025-04-14 16:31:19,006: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:37:15,434: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:37:15,437: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:37:15,438: INFO: common: created directory at: artifacts]
[2025-04-14 16:37:15,438: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:37:32,576: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:37:32,580: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:37:32,582: INFO: common: created directory at: artifacts]
[2025-04-14 16:37:32,584: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:38:37,154: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 16:38:37,158: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 16:38:37,161: INFO: common: created directory at: artifacts]
[2025-04-14 16:38:37,162: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 16:38:54,712: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-04-14 17:07:12,563: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-14 17:07:12,571: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 17:07:12,571: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 17:07:12,571: INFO: common: created directory at: artifacts]
[2025-04-14 17:07:12,571: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 17:07:12,571: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1N7-uMySA18euUaOjHq1k0Il7YhdBh-LR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-14 17:07:26,980: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1N7-uMySA18euUaOjHq1k0Il7YhdBh-LR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-14 17:07:27,373: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-04-14 17:07:27,373: INFO: main: ***************************]
[2025-04-14 17:07:27,373: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2025-04-14 17:07:27,373: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-14 17:07:27,373: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-14 17:07:27,373: INFO: common: created directory at: artifacts]
[2025-04-14 17:07:27,373: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-14 17:07:27,832: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-04-14 17:07:28,113: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
